chr1	chr2	n_bpair	n_contacts	whole_chrom_top1_accuracy	chr_pair_oracle_top1_accuracy	best_relative_flip_chr2	nearest_geometry_state_accuracy	same_cross_accuracy	pmax90_accuracy	pmax90_recall	truth_state_distance_rank_mean	truth_state_is_nearest_fraction	posterior_top1_distance_rank_mean	posterior_top1_is_nearest_fraction	posterior_top1_distance_gap_mean
chr9	chr17	104	483	0.979296066	0.979296066	0	0.983436853	0.98757764	0.984716157	0.933747412	1.01449275	0.989648033	1.01242236	0.995859213	5.5049673
chr9	chrX	35	105	0.019047619	0.019047619	0	0.019047619	0.20952381	0.0144927536	0.00952380952	4	0	1.08571429	0.952380952	2.75750749
chr10	chr12	90	295	0.989830508	0.989830508	0	0.993220339	0.996610169	1	0.749152542	1.00677966	0.996610169	1.00677966	0.996610169	3.56146732
chr10	chr13	59	201	0.925373134	0.925373134	0	0.925373134	0.925373134	0.961038961	0.368159204	1.12437811	0.940298507	1.01492537	0.995024876	2.12198179
chr10	chr14	1	1	1	1	0	1	1	NA	0	1	1	1	1	1.67559728
chr10	chr15	63	255	0.980392157	0.980392157	0	0.988235294	0.992156863	0.99382716	0.631372549	1.02352941	0.992156863	1.01568627	0.992156863	2.67274934
chr10	chr16	98	324	0.552469136	0.552469136	0	0.552469136	0.558641975	0.717741935	0.274691358	1.44444444	0.555555556	1.05246914	0.953703704	1.25468362
chr10	chr17	45	174	0.511494253	0.511494253	0	0.511494253	0.534482759	0.50931677	0.471264368	1.85632184	0.522988506	1	1	4.48836551
chr10	chr18	15	45	0.977777778	0.977777778	0	0.977777778	1	NA	0	1.06666667	0.977777778	1	1	1.11172519
chr10	chr19	2	2	0.5	0.5	0	1	0.5	NA	0	1	1	2.5	0.5	1.42991617
chr11	chr13	88	355	0.985915493	0.985915493	0	0.985915493	0.988732394	0.991150442	0.946478873	1.01690141	0.991549296	1	1	4.31898405
chr11	chr14	67	259	0.911196911	0.911196911	0	0.911196911	0.911196911	0.956521739	0.849420849	1.1003861	0.915057915	1	1	4.00797962
chr11	chr15	3	6	0.666666667	0.666666667	0	1	1	NA	0	1	1	1	1	3.71303446
chr11	chr17	4	15	1	1	0	1	1	NA	0	1	1	1	1	5.60180285
chr11	chr19	63	217	0.0138248848	0.0138248848	0	0.0138248848	0.0552995392	0.0149253731	0.0138248848	2.29493088	0.0184331797	1	1	3.85174685
chr11	chrX	97	295	0.983050847	0.983050847	0	0.986440678	0.983050847	0.989547038	0.962711864	1.02033898	0.989830508	1.00338983	0.996610169	6.9312351
chr12	chr13	266	1111	0.511251125	0.511251125	0	0.513951395	0.578757876	0.560819462	0.394239424	2.12511251	0.522952295	1.00450045	0.99549955	2.13966165
chr12	chr15	100	326	0.309815951	0.309815951	0	0.309815951	0.957055215	0.325123153	0.202453988	2.35889571	0.309815951	1.00920245	0.990797546	1.69813769
chr12	chr16	4	11	0	0.909090909	1	0	0.0909090909	NA	0	2.36363636	0	1	1	2.25800307
chr12	chr17	64	257	0.607003891	0.607003891	0	0.587548638	0.789883268	0.985074627	0.256809339	1.84435798	0.595330739	1.03891051	0.961089494	1.13282442
chr12	chr18	22	84	0.571428571	0.571428571	0	0.571428571	0.571428571	0.6	0.178571429	1.44047619	0.583333333	1	1	1.33918575
chr12	chr19	61	286	0.531468531	0.531468531	0	0.531468531	0.531468531	0.5	0.437062937	2.20629371	0.541958042	1	1	3.02480545
chr13	chr14	26	129	1	1	0	1	1	1	0.945736434	1	1	1.06976744	0.976744186	2.9003492
chr13	chr16	52	224	0.986607143	0.986607143	0	0.986607143	0.991071429	0.994736842	0.84375	1.02232143	0.986607143	1	1	3.56689249
chr13	chr17	94	330	0.945454545	0.945454545	0	0.945454545	0.951515152	0.97037037	0.793939394	1.13030303	0.951515152	1	1	2.54925464
chr13	chr18	62	177	0.491525424	0.514124294	1	0.480225989	0.491525424	0.426470588	0.163841808	1.58757062	0.485875706	1.03389831	0.988700565	1.47856833
chr13	chr19	123	366	0.87431694	0.87431694	0	0.866120219	0.887978142	0.858447489	0.513661202	1.30874317	0.87704918	1.0136612	0.986338798	2.02467978
chr13	chrX	9	24	0.916666667	0.916666667	0	0.916666667	0.916666667	0.954545455	0.875	1.08333333	0.958333333	1	1	4.51036822
chr14	chr18	52	228	0.99122807	0.99122807	0	0.99122807	0.995614035	0.990521327	0.916666667	1	1	1	1	3.53021734
chr14	chr19	8	46	0.0217391304	0.97826087	1	0.0217391304	0.0217391304	0.0217391304	0.0217391304	3	0	1	1	3.05823968
chr15	chr17	95	362	0.00552486188	0.58839779	1	0.00552486188	0.00828729282	0.00727272727	0.00552486188	2.67127072	0	1	1	4.22137179
chr15	chr18	76	339	0.0147492625	0.914454277	1	0.0147492625	0.0825958702	0.0109489051	0.00884955752	2.61061947	0.00589970501	1	1	2.83114646
chr15	chr19	34	127	0.0236220472	0.708661417	1	0.0236220472	0.291338583	0.0138888889	0.00787401575	2.73228346	0	1	1	2.77284073
chr16	chr17	2	11	0	0	0	0	1	NA	0	4	0	1	1	0.320243992
chr16	chr18	142	569	0.0702987698	0.0702987698	0	0.072056239	0.079086116	0.00238095238	0.00175746924	1.92442882	0.0755711775	1.00175747	0.998242531	1.69910892
chr16	chr19	57	189	0.761904762	0.761904762	0	0.761904762	0.767195767	0.617977528	0.291005291	1.23809524	0.761904762	1	1	1.69895518
chr17	chr19	43	148	0.0135135135	0.952702703	1	0.0135135135	0.0337837838	0.0166666667	0.0135135135	3.87162162	0	1	1	3.06256087
chr17	chrX	52	228	1	1	0	1	1	1	0.921052632	1	1	1	1	3.06755791
chr18	chr19	38	154	0.00649350649	0.506493506	1	0.00649350649	0.487012987	0	0	2.95454545	0.00649350649	1	1	1.80674216
