source	copy_swap_policy	chrom	copy_swap	selected_for_eval	fallback_geometry_copy_swap	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_accuracy
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr9	1	0	1	8381	3257	0.38861711013005606	0.9543013960147954
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr10	0	1	1	9750	4755	0.4876923076923077	0.9606153846153846
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr10	1	0	1	9750	4584	0.47015384615384614	0.9606153846153846
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr11	0	1	0	7873	4285	0.5442652102121174	0.9557982979804395
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr11	1	0	0	7873	3241	0.4116601041534358	0.9557982979804395
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr12	0	1	0	6903	3663	0.530638852672751	0.9174272055627988
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr12	1	0	0	6903	2658	0.38504997827031723	0.9174272055627988
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr13	0	0	1	8066	3391	0.4204066451772874	0.8529630547979172
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr13	1	1	1	8066	3515	0.43577981651376146	0.8529630547979172
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr14	0	1	1	7083	2471	0.348863475928279	0.6812085274601157
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr14	1	0	1	7083	2354	0.3323450515318368	0.6812085274601157
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr15	0	1	1	6087	2557	0.4200755708887794	0.7700016428454083
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr15	1	0	1	6087	2153	0.3537046163955972	0.7701659273862329
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr16	0	1	1	5319	2654	0.4989659710471893	0.9764993419815755
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr16	1	0	1	5319	2536	0.4767813498777966	0.9764993419815755
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr17	0	1	0	4684	2535	0.5412040990606319	0.9784372331340735
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr17	1	0	0	4684	2048	0.4372331340734415	0.9784372331340735
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr18	0	0	0	6263	1983	0.3166214274309436	0.6701261376337219
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr18	1	1	0	6263	2243	0.35813507903560593	0.6701261376337219
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr19	0	1	0	2560	1345	0.525390625	0.9625
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chr19	1	0	0	2560	1118	0.43671875	0.9625
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chrX	0	1	1	3858	2069	0.5362882322446864	0.9631933644375325
reconstruction_posterior	whole_chrom_snp_cis_top1_oracle_eval_only	chrX	1	0	1	3858	1661	0.43053395541731465	0.9631933644375325
